experiment_id,run_id,method,model,ratio_name,ratio_value,seed_name,split,num_samples,accuracy,macro_f1,macro_precision,macro_recall
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train100_seed1,MERT+LoRA (r=8),mert_v1_95m,train100,1.0,seed1,test,242,0.8677685950413223,0.8612889910903877,0.8933109840937408,0.8672665011950725
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train100_seed1,MERT+LoRA (r=8),mert_v1_95m,train100,1.0,seed1,external_test,610,0.460655737704918,0.4396323474009282,0.540052788247679,0.45567152789418186
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train100_seed2,MERT+LoRA (r=8),mert_v1_95m,train100,1.0,seed2,val,230,0.9260869565217391,0.9083444282767518,0.948006993006993,0.8908432256864313
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train100_seed2,MERT+LoRA (r=8),mert_v1_95m,train100,1.0,seed2,test,233,0.8111587982832618,0.7114923361201987,0.7238382250174703,0.7415053406845473
exp03_mert_lora_r8,run_exp03_mert_lora_r8_train100_seed2,MERT+LoRA (r=8),mert_v1_95m,train100,1.0,seed2,external_test,610,0.4967213114754098,0.4493763852848259,0.5021227522781043,0.533450941029898
exp03_mert_full_ft,run_exp03_mert_full_ft_train10_seed0,MERT full fine-tuning,mert_v1_95m,train10,0.1,seed0,val,221,0.8823529411764706,0.8584122234322913,0.8481182795698925,0.8709778783308195
exp03_mert_full_ft,run_exp03_mert_full_ft_train10_seed0,MERT full fine-tuning,mert_v1_95m,train10,0.1,seed0,test,204,0.9117647058823529,0.8787825606339199,0.8562142464581489,0.9332621082621083
exp03_mert_full_ft,run_exp03_mert_full_ft_train10_seed0,MERT full fine-tuning,mert_v1_95m,train10,0.1,seed0,external_test,610,0.4163934426229508,0.3143843681829435,0.2853259485612427,0.37622518955353423
exp03_mert_full_ft,run_exp03_mert_full_ft_train10_seed1,MERT full fine-tuning,mert_v1_95m,train10,0.1,seed1,val,185,0.6972972972972973,0.6013031280888425,0.7377419667053813,0.6043342151675485
exp03_mert_full_ft,run_exp03_mert_full_ft_train10_seed1,MERT full fine-tuning,mert_v1_95m,train10,0.1,seed1,test,242,0.7355371900826446,0.714684938048976,0.7569597621805757,0.7519158737646133
exp03_mert_full_ft,run_exp03_mert_full_ft_train10_seed1,MERT full fine-tuning,mert_v1_95m,train10,0.1,seed1,external_test,610,0.27377049180327867,0.20682578601423265,0.32343947513933163,0.23045111362478643
exp03_mert_full_ft,run_exp03_mert_full_ft_train10_seed2,MERT full fine-tuning,mert_v1_95m,train10,0.1,seed2,val,230,0.9,0.9181312490346137,0.9287680728857199,0.9208908397061707
exp03_mert_full_ft,run_exp03_mert_full_ft_train10_seed2,MERT full fine-tuning,mert_v1_95m,train10,0.1,seed2,test,233,0.8540772532188842,0.8381010674876829,0.9018752584780811,0.8270173232553534
exp03_mert_full_ft,run_exp03_mert_full_ft_train10_seed2,MERT full fine-tuning,mert_v1_95m,train10,0.1,seed2,external_test,610,0.521311475409836,0.4190840530833421,0.34670126054162775,0.5411669019338522
exp03_mert_full_ft,run_exp03_mert_full_ft_train25_seed0,MERT full fine-tuning,mert_v1_95m,train25,0.25,seed0,val,221,0.9095022624434389,0.901589773854544,0.922542372881356,0.9003267973856208
exp03_mert_full_ft,run_exp03_mert_full_ft_train25_seed0,MERT full fine-tuning,mert_v1_95m,train25,0.25,seed0,test,204,0.9607843137254902,0.9496866695275887,0.9374710072214637,0.9661703887510339
exp03_mert_full_ft,run_exp03_mert_full_ft_train25_seed0,MERT full fine-tuning,mert_v1_95m,train25,0.25,seed0,external_test,610,0.2278688524590164,0.18783398643917823,0.20843630254467363,0.3280473537920507
