method,model,ratio_name,ratio_value,split,label_id,label,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,val,3,笛子,0.2809523809523809,0.24939836905092372,0.6666666666666666,0.5773502691896258,0.17899659863945575,0.16114057759916797
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,val,4,唢呐,0.7596863110489944,0.1434682866998794,0.6794233958413063,0.2361820472152073,0.9034068912117692,0.08755274264174949
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,val,5,笙,0.8165242165242166,0.049138485840114834,0.7686757215619694,0.10763675395111746,0.8906595365418895,0.11221980028041369
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,external_test,0,二胡,0.09019607843137252,0.15622419048660457,0.13450292397660815,0.23296589809405951,0.0678466076696165,0.11751377160496805
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,external_test,1,琵琶,0.0077519379844961,0.013426750446270324,0.3333333333333333,0.5773502691896258,0.0039215686274509665,0.00679235610811322
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,external_test,2,中阮,0.10268475034006173,0.07564555612263996,0.2435254803675856,0.22381784980785058,0.06737588652482263,0.04429076594608792
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,external_test,3,笛子,0.0303030303030303,0.052486388108147784,0.10416666666666667,0.18042195912175804,0.0177304964539007,0.030710120701575822
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,external_test,4,唢呐,0.2873744485121562,0.1105121543743716,0.23973154615998604,0.10195516015558367,0.36296296296296293,0.11403558754326411
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,external_test,5,笙,0.35967547547028217,0.04554264578598089,0.24696051130533783,0.025418061491520906,0.664804469273743,0.12591539295625306
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,test,0,二胡,0.8164021164021165,0.045903854448135335,0.8704284221525601,0.11291070143565389,0.7815460621912235,0.10444282797949012
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,test,1,琵琶,0.0900900900900901,0.15604061329449345,0.3333333333333333,0.5773502691896258,0.052083333333333336,0.09021097956087902
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,test,2,中阮,0.8852401266573802,0.08159983899375081,0.8004188604188603,0.1294065341382583,1.0,0.0
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,test,3,笛子,0.18283166109253066,0.2452518493902705,0.6666666666666666,0.5773502691896258,0.11515151515151513,0.16168874632671637
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,test,4,唢呐,0.7888038769515839,0.10138732786254018,0.6878606773343615,0.17908961455849537,0.9577677224736049,0.04423833899264702
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,test,5,笙,0.6292856440845827,0.11256420045518403,0.532045732045732,0.12322884780603394,0.8363479758828595,0.24428286957457393
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,val,0,二胡,0.7477268430189588,0.14064497822899155,0.8484848484848485,0.18924236358783028,0.6980920314253648,0.19717343439728624
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,val,1,琵琶,0.0,0.0,0.0,0.0,0.0,0.0
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,val,2,中阮,0.9602482636323334,0.045613968731597634,0.9259747102212855,0.08340002135823671,1.0,0.0
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,val,3,笛子,0.23564143853998923,0.26450388500674976,0.6666666666666666,0.5773502691896258,0.15166066426570626,0.18162727078894542
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,val,4,唢呐,0.730436834135352,0.14935100631163187,0.6059033655390331,0.21440114949768893,0.9678668215253582,0.027834207461120662
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,val,5,笙,0.6146050163184541,0.08528519090902215,0.6186346670842795,0.09358452245299317,0.6597326203208556,0.2270437789882884
MERT+LoRA (r=4),mert_v1_95m,train50,0.5,external_test,0,二胡,0.17982456140350878,0.31146527679966657,0.1431064572425829,0.24786765483533674,0.24188790560471976,0.41896214224379924
MERT+LoRA (r=4),mert_v1_95m,train50,0.5,external_test,1,琵琶,0.07391859077252333,0.0673688278158792,0.6666666666666666,0.5773502691896258,0.03921568627450977,0.03594177015651637
MERT+LoRA (r=4),mert_v1_95m,train50,0.5,external_test,2,中阮,0.22570919276801626,0.25735862281028077,0.39682539682539675,0.2443619733069945,0.1773049645390071,0.21732699923467466
MERT+LoRA (r=4),mert_v1_95m,train50,0.5,external_test,3,笛子,0.2946655980051652,0.4922562324828858,0.6084142394822006,0.5340982512305315,0.3049645390070922,0.5190282966444799
MERT+LoRA (r=4),mert_v1_95m,train50,0.5,external_test,4,唢呐,0.34520248777477086,0.27280966410729635,0.409009009009009,0.18151085210718368,0.37777777777777777,0.4239729784075314
MERT+LoRA (r=4),mert_v1_95m,train50,0.5,external_test,5,笙,0.5148497763876135,0.07718051392037613,0.3685593659442861,0.07284097751692958,0.8696461824953445,0.05595895419484806
